Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s)
ETHIOPIA,0.0,3.016666666666666,9.957142857142857,2.75,47.84285714285714,31.057142857142853,13942.345571428572
FIJI,2.0,2.0,8.05,3.65,5.9,6.1,94.238
GABON,2.0,1.4,3.8,6.6,21.45,7.7,219.3365
GAMBIA (THE),0.0,2.085714285714286,8.385714285714286,2.228571428571428,23.7,16.300000000000004,317.164625
GEORGIA,2.0,0.8500000000000001,2.5666666666666664,19.533333333333335,14.0,2.0666666666666664,252.58
GERMANY,3.0,0.1,0.65,3.35,1.5,0.8,3641.69
GHANA,1.0,2.011111111111111,7.622222222222222,2.8222222222222224,29.477777777777785,17.244444444444444,3299.961888888889
GUATEMALA,2.0,0.8571428571428571,2.2857142857142856,5.3999999999999995,54.1,19.057142857142853,1849.8642857142856
GUINEA,0.0,3.242857142857143,9.425,4.333333333333333,34.2375,19.262500000000003,1712.441125
GUINEA-BISSAU,0.0,2.9250000000000003,8.125,6.75,35.275,18.05,243.32675
GUYANA,2.0,2.4499999999999997,9.120000000000001,5.24,15.279999999999998,11.383333333333335,87.14283333333334
HAITI,0.0,1.98,6.616666666666667,3.66,29.916666666666668,16.9,1216.8086666666666
HONDURAS,1.0,0.275,1.828571428571429,3.9,36.857142857142854,13.785714285714286,963.0245714285713
INDIA,1.0,6.116666666666667,18.766666666666666,2.9333333333333336,49.05555555555556,42.977777777777774,123014.491
INDONESIA,1.0,4.171428571428572,11.375,7.199999999999999,38.3625,24.3625,22286.513875
IRAN (ISLAMIC REPUBLIC OF),2.0,1.4,5.75,6.2,14.674999999999999,8.0,6392.826999999999
IRAQ,2.0,2.175,5.542857142857143,9.5,24.514285714285712,8.500000000000002,4213.459714285715
JAMAICA,2.0,0.9210526315789473,3.3950000000000005,5.994736842105262,8.680000000000001,3.9550000000000005,272.90004999999996
JAPAN,3.0,0.2,2.3,1.5,7.1,3.4,5554.144
JORDAN,2.0,0.7600000000000001,2.58,5.72,11.76,3.5,828.3772000000001
KAZAKHSTAN,2.0,1.58,4.2,9.7,15.02,3.7600000000000002,1485.4536
KENYA,1.0,2.3625000000000003,6.466666666666667,5.95,37.144444444444446,16.75,5569.008888888889
KIRIBATI,1.0,,12.6,15.9,34.4,13.2,11.626000000000001
KUWAIT,3.0,0.6285714285714284,2.5222222222222226,7.98888888888889,4.661111111111112,2.353333333333333,254.76288888888882
KYRGYZSTAN,1.0,0.8166666666666668,2.533333333333333,7.666666666666665,19.916666666666668,4.366666666666667,642.159
LAO PEOPLE'S DEMOCRATIC REP. (THE),1.0,3.2,10.514285714285714,2.4,44.92857142857143,30.871428571428567,794.6028571428571
LEBANON,2.0,2.25,5.1,18.75,16.85,3.85,436.8065
LESOTHO,1.0,1.6199999999999999,6.671428571428571,9.82,40.2,14.085714285714287,263.2922857142857
LIBERIA,0.0,1.7799999999999998,5.84,3.4799999999999995,37.22,17.740000000000002,618.2774000000001
LIBYA,2.0,3.233333333333333,6.766666666666666,21.8,26.733333333333334,7.166666666666667,621.9033333333333
MADAGASCAR,0.0,2.24,9.957142857142857,2.5,52.574999999999996,34.31428571428571,2932.9285
MALAWI,0.0,1.6076923076923082,4.64,7.484615384615385,49.107142857142854,17.40666666666667,2409.5667999999996
MALAYSIA,2.0,,11.6,6.2,19.075,18.14,2533.1929
MALDIVES,2.0,4.725,15.779999999999998,4.66,32.6,30.32,36.045399999999994
MALI,0.0,4.457142857142856,13.242857142857144,2.2,34.41428571428572,26.671428571428574,2533.5642857142857
MARSHALL ISLANDS,2.0,1.1,3.5,4.1,34.8,11.9,1.0
MAURITANIA,1.0,3.975,13.41,2.6374999999999997,34.17,24.866666666666667,500.2949
MAURITIUS,2.0,,17.0,7.65,20.45,17.05,107.67500000000001
MEXICO,2.0,0.6499999999999999,3.825,7.371428571428572,19.175,6.5249999999999995,11349.53525
MONGOLIA,1.0,0.9625,2.444444444444444,9.925,20.777777777777782,5.9111111111111105,290.8246666666667
MONTENEGRO,2.0,1.7000000000000002,3.5,19.0,8.65,1.6,39.3245
MOROCCO,1.0,1.95,4.483333333333333,10.866666666666667,23.849999999999998,6.916666666666667,3310.867166666667
MOZAMBIQUE,0.0,2.566666666666667,6.8,6.566666666666666,47.84285714285715,20.75714285714286,3619.840285714286
MYANMAR,1.0,2.5,9.771428571428572,4.62,45.1,29.75555555555555,5089.4565555555555
NAMIBIA,2.0,2.75,8.575000000000001,4.125,29.200000000000003,18.049999999999997,273.58849999999995
NAURU,2.0,0.2,1.0,2.8,24.0,4.8,1.0
NEPAL,0.0,2.5285714285714285,10.325,1.0285714285714287,51.9125,36.949999999999996,3226.073625
NICARAGUA,1.0,0.75,2.033333333333333,6.55,24.066666666666666,7.033333333333334,671.9388333333333
NIGER (THE),0.0,4.33,15.936363636363637,1.52,46.0,38.263636363636365,3137.2158181818177
NIGERIA,1.0,4.379999999999999,12.045454545454549,4.8909090909090915,39.46363636363637,26.681818181818183,26759.820363636365
NORTH MACEDONIA,2.0,0.6333333333333334,2.3,12.733333333333333,8.066666666666668,1.6666666666666667,125.12866666666666
OMAN,3.0,1.6800000000000002,7.783333333333334,3.5500000000000003,16.066666666666666,11.916666666666666,332.156
PAKISTAN,1.0,4.5,14.314285714285713,4.757142857142857,46.67142857142858,33.737500000000004,21774.897875
PANAMA,3.0,0.3333333333333333,1.366666666666667,9.066666666666666,19.833333333333332,4.733333333333333,346.0026666666667
PAPUA NEW GUINEA,1.0,2.8000000000000003,8.0,6.733333333333333,46.46666666666667,22.900000000000002,869.4279999999999
PARAGUAY,2.0,0.3333333333333333,1.3250000000000002,9.275,13.025,2.525,679.4762499999999
PERU,2.0,0.21333333333333337,0.7933333333333332,8.940000000000001,21.860000000000003,4.320000000000001,2922.842400000001
PHILIPPINES (THE),1.0,1.92,7.127272727272726,3.1,36.27272727272728,24.14545454545454,10529.683272727272
POLAND,3.0,,,,2.75,,1951.373
QATAR,3.0,,2.1,10.4,11.6,4.8,50.012
REPUBLIC OF KOREA (THE),3.0,0.15000000000000002,1.05,6.75,2.5,0.8,2487.0969999999998
REPUBLIC OF MOLDOVA (THE),1.0,1.45,3.8499999999999996,6.9,8.55,2.7,215.55149999999998
ROMANIA,2.0,0.9000000000000001,3.72,8.080000000000002,13.219999999999999,3.8800000000000003,1268.1806
RWANDA,0.0,1.425,4.866666666666666,6.314285714285715,46.31111111111111,15.88888888888889,1423.7553333333335
SAINT LUCIA,2.0,0.7,3.7,6.3,2.5,2.8,11.07
SAMOA,2.0,1.3,2.6,5.75,5.65,2.45,27.0955
SAO TOME AND PRINCIPE,1.0,2.3333333333333335,7.0200000000000005,9.55,28.880000000000003,11.26,25.896000000000004
SAUDI ARABIA,3.0,4.5,7.3500000000000005,3.65,15.35,9.4,2744.397
SENEGAL,1.0,1.825,8.27142857142857,2.115384615384615,22.73571428571429,16.3,2036.3530714285714
SERBIA,2.0,1.2333333333333334,3.966666666666667,16.266666666666666,6.8999999999999995,1.7333333333333334,489.82666666666665
SEYCHELLES,3.0,1.2,3.5,8.0,7.800000000000001,4.3,8.1065
SIERRA LEONE,0.0,3.075,8.610000000000001,6.237500000000001,37.2,20.389999999999997,982.5267000000001
SINGAPORE,3.0,0.5,3.6,2.6,4.4,3.3,237.083
SOLOMON ISLANDS,1.0,2.3333333333333335,6.733333333333333,2.966666666666667,32.733333333333334,14.666666666666666,73.68666666666667
SOMALIA,0.0,4.35,15.633333333333335,3.85,32.166666666666664,26.03333333333333,2017.3263333333332
SOUTH AFRICA,2.0,2.92,5.371428571428572,13.614285714285714,29.071428571428573,9.714285714285717,5274.622
SOUTH SUDAN,0.0,11.4,23.65,8.45,33.75,30.1,1459.2625
SRI LANKA,2.0,2.4499999999999997,15.7625,1.05,21.8625,25.999999999999996,1753.71225
STATE OF PALESTINE,1.0,0.8499999999999999,3.733333333333334,7.58,11.550000000000002,2.92,594.9526666666667
SUDAN (THE),1.0,4.766666666666667,15.4,2.9,36.86666666666667,29.933333333333334,5551.013
SURINAME,2.0,1.2666666666666666,5.633333333333333,3.6333333333333333,11.166666666666666,8.133333333333335,53.059666666666665
SYRIAN ARAB REPUBLIC (THE),0.0,5.05,9.566666666666665,17.825000000000003,28.549999999999997,10.049999999999999,2476.2093333333337
TAJIKISTAN,0.0,2.483333333333333,8.290909090909091,6.116666666666666,33.77272727272727,10.933333333333332,979.9402727272728
THAILAND,2.0,1.475,6.083333333333333,6.619999999999999,17.733333333333334,12.466666666666667,4651.628833333333
TIMOR-LESTE,1.0,4.775,15.62,3.65,55.379999999999995,42.8,160.44480000000001
TOGO,0.0,2.0375,7.7124999999999995,2.3999999999999995,30.922222222222224,18.93333333333333,957.8651111111111
TONGA,2.0,2.1,3.25,17.3,5.15,1.9,13.9005
TRINIDAD AND TOBAGO,3.0,1.4000000000000001,5.466666666666666,6.633333333333333,6.933333333333333,5.133333333333334,113.71333333333332
TUNISIA,1.0,1.1,3.583333333333334,9.080000000000002,12.450000000000001,3.6500000000000004,928.927
TURKEY,2.0,0.6,2.1,7.75,14.350000000000001,4.8428571428571425,6543.739571428572
TURKMENISTAN,2.0,1.6,6.166666666666667,5.2,19.5,7.633333333333333,563.6246666666666
TUVALU,2.0,0.9,3.3,6.3,10.0,1.6,1.0
UGANDA,0.0,1.3333333333333335,4.522222222222222,4.277777777777778,38.333333333333336,15.533333333333335,5647.890555555557
UKRAINE,1.0,3.8,8.2,26.5,22.9,4.1,2160.097
UNITED REPUBLIC OF TANZANIA (THE),0.0,1.5,5.054545454545454,4.540000000000001,40.99090909090909,17.727272727272723,7373.04890909091
UNITED STATES OF AMERICA (THE),3.0,0.04,0.5142857142857143,7.414285714285714,2.914285714285714,0.8800000000000001,20077.909571428572
URUGUAY,3.0,0.65,2.3833333333333333,9.166666666666666,14.242857142857144,5.128571428571429,255.65900000000005
UZBEKISTAN,1.0,2.975,6.4750000000000005,10.924999999999999,23.7,7.0,2957.5055
VANUATU,1.0,1.7,5.8,4.800000000000001,26.766666666666666,11.266666666666666,31.77133333333333
VENEZUELA (BOLIVARIAN REPUBLIC OF),2.0,,4.333333333333333,5.40952380952381,16.957142857142863,4.242857142857143,2787.8000952380958
VIET NAM,1.0,2.3312500000000003,8.661904761904761,3.3176470588235287,34.922727272727265,22.91818181818182,7507.2202727272725
YEMEN,0.0,5.3,15.242857142857142,4.842857142857143,51.9,37.78571428571428,3269.4759999999997
ZAMBIA,1.0,2.042857142857143,5.542857142857144,7.228571428571429,48.1375,17.885714285714286,2083.4945000000002
ZIMBABWE,1.0,1.3888888888888888,4.166666666666666,5.788888888888889,30.455555555555552,10.71,1912.4504000000002
